Examplar Code,Book Title,Author ID,Author Name,Stock,Borrowed,Available,Category,BookYear
312,24 Jam Pintar Pemograman Android,112,Sara Turner,1,1,0,General Knowledge,1990
317,Data Structures Using C++,113,Violet Jordan,6,5,1,General Knowledge,2005
318,Hacking Streaming: Jurus Sakti Membangun Server Streaming dengan NGINX-RTMP,114,Marco Martinez,1,1,0,General Knowledge,1995
320,Digital Control System Analysis and Design,115,Ralph Patel,2,2,0,General Knowledge,1995
325,Systems Analysis and Design,116,Cynthia Park,1,1,0,General Knowledge,1992
327,Data Structures: A Pseudocode Approach with C,117,Sara King,2,1,1,General Knowledge,1993
328,Systems Analysis and Design In a Changing World,118,Quentin Gibson,3,3,0,General Knowledge,2001
330,"Basics of Information Security, The: Understanding the Fundamentals of InfoSec in Theory and Practice",119,Walter Harris,1,1,0,General Knowledge,2012
333,Sistem Informasi Akademik Kampus Berbasis Web dengan Php,120,Kara Kelly,1,1,0,General Knowledge,2017
334,Berpikir Gambar Bagi Arsitek dan Perancang,121,Maeve Jenkins,4,4,0,General Knowledge,1991
336,Menggambar Bagi Pengembangan Bakat,122,Samir Lopez,2,2,0,General Knowledge,2007
337,Teori dan Modul Praktikum: Jaringan Komputer,123,Cynthia Phillips,6,6,0,General Knowledge,1981
339,Pengantar Teori Komputasi Kuantum,124,Raj Long,1,1,0,General Knowledge,2012
345,Analisis Rangkaian Listrik,125,Diego Williams,1,1,0,Technology,2021
346,Matlab: A Practical Introduction to Programming and Problem Solving,126,George Morgan,4,4,0,General Knowledge,1985
351,C How to Program with an Introduction to C++,127,Oliver Watson,8,8,0,General Knowledge,2003
352,Web Design Principles,128,Wendy Williams,7,7,0,General Knowledge,1984
354,Modern Database Management,129,Sophia Thomas,4,4,0,General Knowledge,1989
364,Information Technology for Management,130,Nia Nakashima,1,1,0,General Knowledge,2022
365,Teknik Kontrol Automatik = Automatic Control Systems,131,Ingrid Jenkins,1,1,0,General Knowledge,2015
367,Applied Numerical Methods with Personal Computers,132,Omar Ross,3,3,0,General Knowledge,2020
372,"Art of Software Testing, The",133,Helena Lewis,3,3,0,General Knowledge,1986
374,Problem Solving with C++,134,Jacob Cook,3,3,0,General Knowledge,1998
376,Membuat Sendiri Cloud Computing Server Menggunakan Open Source,135,Zane Cooper,1,1,0,General Knowledge,2014
377,Perencanaan Wilayah di Indonesia  pada Masa Sekitar Krisis,136,Nia Patterson,1,1,0,General Knowledge,1981
378,Perumahan dan Pemukiman di Indonesia: Upaya Membuat Perkembangan Kehidupan yang Berkelanjutan,137,Samir Harris,1,1,0,General Knowledge,1984
381,"Rangkaian Listrik, Jilid 2",138,Tarek Patterson,3,3,0,Technology,2019
383,"Rangkaian Listrik, Jilid 1",139,Wendy Wood,2,2,0,Technology,2008
385,Seputar Rumah & Industri Kreatif: Belajar Mudah Merangkai Rangkaian Elektronika,140,Lamar Lane,2,2,0,Technology,2017
386,Termodinamika Teknik: Beberapa Soal dan Penyelesaiannya,141,Piper Cook,1,1,0,Technology,2002
392,Exploring Arduino: Tools and Techniques for Engineering Wizardry,142,Ximena McCarthy,12,12,0,General Knowledge,1988
396,Ikatan Kimia,143,Priya Williams,1,1,0,General Knowledge,1993
401,Chemical Reaction Engineering,144,Xander Reed,10,10,0,General Knowledge,2015
402,Kimia Dasar 2,145,Harriet Hughes,2,2,0,General Knowledge,1993
403,"Internet of Things for Architects: Architecting IoT solutions by Implementing Sensors, Communication Infrastructure, Edge Computing, Analytics, and Security",146,Harriet Thompson,3,3,0,General Knowledge,2008
405,Parasitologi Kedokteran,147,Carmen Mitchell,1,1,0,General Knowledge,1983
407,Chemistry: Principles and Reactions,148,Sophia Williams,3,3,0,General Knowledge,2022
408,Kimia Dasar 1,149,Marco Price,3,3,0,General Knowledge,2008
415,Engineering Circuit Analysis,150,Victor Martinez,2,2,0,General Knowledge,2021
416,"Pompa Sentrifugal: Teori & Desain, Jilid 2",151,Zara Martinez,1,1,0,Technology,2021
417,Perencanaan Wilayah dalam Konteks Indonesia,152,Sophia Thomas,1,1,0,General Knowledge,2012
419,Tata Letak Pabrik dan Pemindahan Bahan,153,Landon Lin,1,1,0,General Knowledge,1999
420,Analisis Kota dan Daerah,154,Claire Morgan,2,2,0,General Knowledge,2005
421,"Operasi Teknik Kimia, Jilid 1",155,Francisca Scott,3,3,0,General Knowledge,1985
423,Product Design and Development,156,Ralph Martin,1,1,0,General Knowledge,2002
424,Kritik Seni Rupa,157,Blake Lopez,2,2,0,General Knowledge,1994
432,Engineering Economy,158,Pauline Ruiz,1,1,0,General Knowledge,2002
437,Fundamentals of Electric Circuits,159,Ralph Butler,2,2,0,General Knowledge,2009
440,Understanding Artifical Intelligence,160,Walter Romanov,3,3,0,General Knowledge,1984
441,Manusia dan Olahraga,161,Evan White,1,1,0,General Knowledge,2016
443,Menuju Tak Terhingga,162,Ivy Bailey,2,2,0,General Knowledge,2016
446,Ejaan Bahasa Indonesia,163,Cynthia Clark,1,1,0,General Knowledge,2016
449,Soal Latihan Matematika,164,Samir Rogers,3,2,1,General Knowledge,1991
451,Seismologi,165,Uma Wood,1,1,0,General Knowledge,1983
457,Anatomi Tumbuhan Berbiji,166,Ralph White,2,2,0,General Knowledge,2005
460,Kapita Selekta Kedokteran,167,Claire James,1,1,0,General Knowledge,1989
465,"Fundamentals of English Grammar, Volume B",168,Oliver Long,3,3,0,General Knowledge,1983
466,Matematika Fisika 1,169,Kofi Lopez,1,1,0,General Knowledge,2007
468,Kimia Dasar 3,170,Tobias Evans,1,1,0,General Knowledge,2008
470,Aljabar,171,Derek Thomas,1,1,0,General Knowledge,2002
472,Statika 2,172,Kofi White,1,1,0,General Knowledge,2019
474,Pengantar Sistem Komunikasi Serat Optik,173,Cynthia Fisher,1,1,0,General Knowledge,1996
475,Pengantar Kimia Organik dan Hayati,174,Ximena Gray,6,6,0,General Knowledge,2014
478,Engineering Graphics with AutoCAD 2011,175,Francisca Gibson,4,4,0,General Knowledge,2011
481,Distributed Systems: Principles and  Paradigms,176,Ingrid Hayes,2,2,0,General Knowledge,2006
484,Introduction to Wireless and Mobile Systems,177,Violet Gray,2,2,0,General Knowledge,2016
485,Operating Systems: Internals and Design Principles,178,Landon Romanov,11,11,0,General Knowledge,2022
488,Reinforced Concrete: Mechanics and Design,179,George Cook,7,6,1,General Knowledge,1986
492,Kalkulus = Calculus,180,Bryce Edwards,6,6,0,General Knowledge,1986
496,Pengantar Matematika untuk Mahasiswa Sosial-Ekonomi,181,Piper Kelly,1,1,0,General Knowledge,2022
497,Kata dan Makna: Teman Penulis dan Penerjemah Menemukan Kata dan Istilah,182,Francisca Davidson,1,1,0,General Knowledge,1999
499,Pengantar Analisis Real,183,Ingrid Watson,1,1,0,General Knowledge,2020
501,Aljabar Linier,184,Gregory Davidson,1,1,0,General Knowledge,2016
502,Ilmu Peluang dan Statistika untuk Insinyur dan Ilmuwan,185,Benjamin Young,5,5,0,General Knowledge,2002
508,Contoh Desain Bangunan Tahan Gempa: dengan Sistem Rangka Pemikul Momen Khusus dan Sistem Dinding Struktur Khusus di Jakarta,186,Sophia Bennett,4,4,0,Technology,2015
518,Kimia untuk Pemula = Beginning Chemistry,187,Landon Price,3,3,0,General Knowledge,1982
522,Contemporary Polymer Chemistry,188,Noah Patterson,1,1,0,General Knowledge,2021
523,University Physics,189,Piper Adams,3,3,0,General Knowledge,1984
525,Kimia Organik 1 = Organic Chemistry 1,190,Grace Foster,6,6,0,General Knowledge,1991
526,Principles and Practice of Ground Improvement,191,Jacob Turner,1,1,0,General Knowledge,2018
527,Kimia Organik 2 = Organic Chemistry 2,192,Yusuf King,3,3,0,General Knowledge,2020
529,Kimia Makanan,193,Raj Williams,3,3,0,General Knowledge,1986
530,Introduction to Mechatronics and Measurement Systems,194,Walter Scott,2,2,0,General Knowledge,1994
531,"Statistika untuk Biologi, Farmasi, Kedokteran, dan Ilmu yang Bertautan",195,Xavier Butler,2,2,0,General Knowledge,2017
534,Hidrologi Teknik,196,Lily Nakashima,2,2,0,General Knowledge,1992
539,Termodinamika: Azas Dasar dan Terapan Kimia,197,Yusuf Lin,2,2,0,General Knowledge,1997
542,Civil and Environmental Systems Engineering,198,Raya Ward,1,1,0,Sustainability,1983
545,Biologi Sel dan Terapannya,199,Victor Walker,5,5,0,General Knowledge,1986
546,Tata Atur: Pengantar Merancang Arsitektur = Ordering Systems: an Introduction to Architectural Design,200,Francisca Newton,4,4,0,General Knowledge,2020
547,"Fisiologi Tumbuhan, Jilid 2",201,Xavier Foster,1,1,0,General Knowledge,2003
548,"Fisiologi Tumbuhan, Jilid 1",202,Zachary Green,2,2,0,General Knowledge,1988
549,"Fisiologi Tumbuhan, Jilid 3",203,Lamar Carter,1,1,0,General Knowledge,1998
550,Benson's Microbiological Applications: Laboratory Manual in General Microbiology,204,Ivy Patterson,2,2,0,General Knowledge,2008
556,"Principles of Electronic and Electromechanic Power Conversion, The: a Systems Approach",205,Pauline Shah,1,1,0,General Knowledge,2007
558,Applied Statictic and Probability for Engineers,206,Harriet Evans,2,2,0,General Knowledge,2014
560,God's Fiery Challenger for Our Time: Festchrift in Honor of Stephen Tong the Founder and the Master Planner of Reformed Evangelical Movement,207,Tobias Howard,1,1,0,General Knowledge,1982
563,Analisis dan Desain Struktur Beton Bertulang,208,Valerie Coleman,4,3,1,Technology,2015
574,"Process Design Principles: Synthesis, Analysis, and Evaluation",209,Anya Jordan,3,3,0,General Knowledge,2013
575,Pumping Station Design,210,Zachary Hayes,1,1,0,General Knowledge,2010
576,Process Design and Engineering Practice,211,Diego Turner,3,3,0,General Knowledge,2019
578,"Mekanika Fluida, Jilid 1 = Fundamentals of Fluids Mechanics",212,Uma Shah,7,7,0,General Knowledge,2022
582,Sustainable Construction: Green Building Design and Delivery,213,Nia Gonzalez,1,1,0,Sustainability,1993
584,Geotechnical Earthquake Engineering,214,Ella Martinez,5,5,0,General Knowledge,2010
586,"Perencanaan, Pemodelan, dan Rekayasa Transportasi: Teori, Contoh Soal, dan Aplikasi",215,Blake Patterson,2,2,0,General Knowledge,2011
588,Essentials of Soil Mechanics and Foundations: Basic Geotechnics,216,Wendy Flores,2,2,0,General Knowledge,2005
593,Materials Science and Engineering Properties,217,Priya Powell,1,1,0,General Knowledge,1999
597,Timber Construction Manual,218,Willow Martinez,1,1,0,General Knowledge,1990
602,Fundamentals of Seismic Loading on Structures,219,Benjamin Mitchell,1,1,0,General Knowledge,2018
605,Introducing Character Animation with Blender,220,Kiera Murphy,2,2,0,General Knowledge,2006
606,Structural Analysis,221,Cynthia Perez,9,9,0,General Knowledge,1985
609,Structural Steel Design,222,Pauline Young,3,3,0,General Knowledge,1981
613,Mekanika Batuan,223,Yasmin Ruiz,3,3,0,General Knowledge,1990
617,Craig's Soil Mechanics,224,Kofi Patterson,4,3,1,Technology,2017
625,Finite Element Analysis and Design of Metal Structures,225,Tobias Bailey,1,1,0,General Knowledge,2018
627,Desain & Kebudayaan,226,Victor Martinez,4,4,0,Technology,2021
631,Finite Element Analysis: Theory and Application with ANSYS,227,Victor Gonzalez,1,1,0,General Knowledge,1989
641,Pengantar Perencanaan Perkotaan,228,Grace Walker,2,2,0,General Knowledge,2008
642,Seismic Design of Reinforced Concrete Buildings,229,Sophia Walker,1,1,0,General Knowledge,2008
644,"8051 Microcontroller and Embedded Systems, The",230,Alice Fisher,2,2,0,General Knowledge,1988
647,"Introduction to Matlab Programming and Numerical Methods for Engineers, An",231,Samir Jenkins,2,2,0,General Knowledge,1989
648,Barron's How to Prepare for the Toefl: Test of English as a Foreign Language,232,Ivy Perez,2,2,0,General Knowledge,2022
650,Water-Resources Engineering,233,Julia Wright,1,1,0,General Knowledge,2017
651,Bioprocess Engineering: Basic Concepts,234,Lily Williams,1,1,0,General Knowledge,1999
659,Electrical Engineering: Principles and Applications,235,Blake Reilly,1,1,0,General Knowledge,2014
664,"Brief History of Science, A: As Seen Through the Development of Scientific Instruments",236,Oscar Rogers,3,3,0,History,2016
665,"God Delusion, The",237,Uma Howard,3,3,0,General Knowledge,1985
666,Eureka!: the Birth of Science,238,Noah Green,4,4,0,General Knowledge,1996
667,Moving Heaven and Earth: Copernicus and the Solar System,239,Maeve Morgan,2,2,0,General Knowledge,1985
668,Architecture of the Renaissance: From Brunelleschi to Palladio,240,Xavier Hayes,5,5,0,Architecture,2007
669,"Sex, Botany, and Empire: The Story of Carl Linnaeus and Joseph Banks",241,Wendy Reed,1,1,0,General Knowledge,1985
670,Atom,242,Benjamin Gonzalez,4,4,0,General Knowledge,2008
671,Written in Stone: The Hidden Secrets of Fossils and the Story of Life on Earth,243,Lamar Price,4,4,0,General Knowledge,2015
672,Technopoly: The Surrender of Culture to Technology,244,Valerie Zhang,3,3,0,General Knowledge,2022
675,They Laughed at Galileo: How the Great Inventors Proved Their Critics Wrong,245,Xavier Ross,5,5,0,General Knowledge,1988
676,One Child: The Story of China's Most Radical Experiment,246,Xander Thomas,2,2,0,General Knowledge,2000
679,Dream Green Architecture,247,Zachary Simmons,2,2,0,Architecture,1991
680,Practical Guide to First Aid: Fast and Effective Emergency Care,248,Pauline Simmons,1,1,0,Technology,2003
681,"Rise of Germany 1939 - 1941, The: The War in the West",249,Harriet King,2,2,0,General Knowledge,2010
684,Efficiency Buildings: Bioclimatic Architecture,250,Maeve Agyeman,3,3,0,Architecture,2008
687,"New Architecture in the Emerging World: Projects by Andrew Bromberg, Aedas",251,Kofi Morgan,1,1,0,Architecture,1994
689,Black Earth: The Holocaust as History and Warning,252,Nia Hughes,1,1,0,History,1997
690,Skyscrapers,253,Kiera Martinez,1,1,0,General Knowledge,1992
691,Fast-Forward Urbanism: Rethiniking Architecture's Engagement with the City,254,Anya Phillips,1,1,0,Architecture,2006
696,Biology: An Illustrated History of Life Science,255,Harriet Morgan,2,2,0,History,2004
697,Shakespeare: The Complete Works,256,Aaliyah Crawford,1,1,0,General Knowledge,1989
698,Cracked: Why Psyhiatry is Doing More Harm Than Good,257,Lamar Harris,2,2,0,General Knowledge,2017
699,Takhta Kristus dalam,258,Maeve Harris,1,1,0,General Knowledge,1995
701,"Origin of Species, The = Asal-Usul Makhluk Hidup melalui Seleksi Alam",259,Alice Reed,6,6,0,General Knowledge,1992
702,Muslim: What You Need to Know About,260,Tobias Thompson,4,4,0,General Knowledge,1985
703,"Genesis of Science, The: How the Christian Middle Ages Launched the Scientific Revolution",261,Piper Cooper,1,1,0,General Knowledge,2022
705,Plato Republik,262,Francisca Ruiz,3,3,0,General Knowledge,1985
708,Aristoteles: Politik,263,Walter Coleman,2,2,0,General Knowledge,2006
711,Cities That Shaped the Ancient World,264,Wendy Clark,1,1,0,Sustainability,1990
712,Wonders of the World Architecture,265,Oliver Lin,1,1,0,Architecture,1985
713,Sustainable Residential Architecture,266,Monica Reed,3,3,0,Architecture,1992
723,Museum Architecture and Interior Design,267,Piper King,2,2,0,Architecture,1992
725,Big Possibilities in Small Dimensions,268,Landon Thomas,2,2,0,General Knowledge,1989
732,7 Perkataan Salib,269,Lily Shah,2,2,0,General Knowledge,1995
734,Waktu dan Hikmat,270,Diego Yang,14,14,0,General Knowledge,2021
735,Waktu & Hikmat,271,Ximena Nakashima,1,1,0,General Knowledge,2001
738,Iman dan Agama,272,Tobias Agyeman,2,2,0,General Knowledge,2004
741,"Kerajaan Allah, Gereja dan Pelayanan",273,Farah Adams,1,1,0,General Knowledge,2009
743,Teologi Penginjilan,274,Carmen Walker,2,2,0,General Knowledge,2021
744,"Roh Kudus, Doa, dan Kebangunan",275,Samir Powell,1,1,0,General Knowledge,1984
747,Allah Tritunggal,276,Valerie Torres,36,36,0,General Knowledge,2010
749,Dinamika Hidup dalam Pimpinan Roh Kudus,277,Monica Thomas,1,1,0,General Knowledge,1994
750,"Dosa, Keadilan, dan Penghakiman",278,Wendy Sanders,1,1,0,General Knowledge,2016
753,"Roh Kudus, Suara Hati Nurani, dan Setan",279,Victor Rogers,3,3,0,General Knowledge,2021
755,Dari Iman Kepada Iman,280,Noah Park,25,24,1,General Knowledge,1990
756,"Outrageous Idea of Christian Scholarship, The",281,Eliana Butler,5,5,0,General Knowledge,1997
758,"Ujian, Pencobaan, dan Kemenangan",282,Pauline Reilly,2,2,0,General Knowledge,2003
