NIM,ExamplarCode,Rating
8145425373,424,2
8931945288,2651,5
7647334784,2787,5
1474705841,2759,3
8931945288,3032,5
4319308516,3376,2
7647334784,3235,3
2394853752,193,2
8145425373,423,1
4292741687,95,2
1550632135,1519,4
4319308516,627,2
1474705841,3021,2
1550632135,2825,3
2146973647,230,1
6355475778,578,2
4319308516,2165,2
2394853752,1447,2
8145425373,2899,4
4606201574,2550,5
2394853752,2509,3
8145425373,2997,2
6355475778,2603,4
2193149183,1650,2
1550632135,304,5
6355475778,1655,4
7125679799,1082,5
1550632135,1109,2
1474705841,3546,1
7125679799,3457,2
9231616010,738,2
7647334784,2603,3
8931945288,2320,2
1550632135,296,3
7647334784,3774,5
7647334784,852,1
8931945288,3738,4
2394853752,3857,4
4292741687,847,2
5870922792,3374,2
8145425373,147,1
9231616010,1636,5
2394853752,68,5
6355475778,58,2
6355475778,2540,4
2193149183,3294,4
4292741687,2089,4
2394853752,2951,1
1474705841,795,5
1550632135,1630,3
7647334784,81,3
6355475778,2903,2
8931945288,574,3
4319308516,2972,2
2394853752,3868,1
4606201574,1230,3
6355475778,3251,2
6355475778,374,5
5870922792,1267,1
2146973647,699,3
1474705841,3453,4
7647334784,3799,5
1550632135,1680,3
5870922792,852,1
2193149183,3868,3
5870922792,1411,5
7647334784,1267,4
2193149183,1074,3
8931945288,3294,2
1550632135,802,3
4606201574,3086,1
1550632135,3771,1
8145425373,1011,5
2394853752,3218,1
4292741687,1359,3
4319308516,214,3
4292741687,1960,3
7647334784,920,2
5870922792,3086,3
1474705841,3866,2
5870922792,1544,4
4292741687,1174,1
4319308516,1913,3
4319308516,851,4
8145425373,1355,3
4292741687,1946,4
1550632135,1256,5
4319308516,2844,5
9231616010,3634,4
2193149183,303,4
2193149183,95,5
8145425373,2778,2
5870922792,346,3
5870922792,669,4
6355475778,311,3
9231616010,31,2
8145425373,245,5
2193149183,102,3
7647334784,1128,1
5870922792,2150,5
5870922792,2036,3
7647334784,3234,5
1474705841,3240,2
2193149183,1519,4
6355475778,3870,2
8145425373,1967,4
9231616010,2953,3
5870922792,684,4
4319308516,3044,4
8931945288,1160,4
8145425373,3177,2
7647334784,1646,4
7125679799,3450,5
1550632135,1686,5
7125679799,3852,1
4606201574,3205,4
7647334784,1276,1
4606201574,2990,1
8931945288,582,3
5870922792,1467,1
8145425373,2344,1
1550632135,1302,1
8145425373,820,2
8931945288,698,5
8145425373,3051,2
4606201574,2079,2
7647334784,917,4
1474705841,3266,4
2146973647,1770,2
8145425373,3176,4
2394853752,304,5
2394853752,147,1
1474705841,3535,5
2146973647,2814,4
1474705841,903,2
7125679799,949,4
1550632135,3045,4
1550632135,3280,2
1474705841,2641,5
2394853752,2495,4
4292741687,1701,4
4606201574,1256,3
9231616010,468,5
4292741687,1572,3
1474705841,2149,3
7647334784,508,4
7647334784,339,4
9231616010,2981,3
4606201574,3220,1
5870922792,920,4
5870922792,1714,5
4319308516,1701,1
5870922792,1971,2
1550632135,899,2
8145425373,3206,1
7125679799,2641,2
4606201574,2089,4
2146973647,1943,5
7647334784,3622,3
2146973647,1281,4
8145425373,687,5
7125679799,776,5
2193149183,2954,2
4292741687,3753,1
4292741687,2975,1
2146973647,3833,3
4292741687,527,1
1550632135,3440,2
9231616010,2710,1
6355475778,2193,4
9231616010,3312,1
5870922792,2690,4
9231616010,3032,1
2193149183,416,5
9231616010,3772,3
6355475778,1189,2
7125679799,3940,1
7647334784,2595,4
9231616010,1596,2
4292741687,3194,1
4292741687,484,1
1550632135,1410,1
1474705841,3084,4
2394853752,2602,3
5870922792,3763,3
2394853752,2097,5
1550632135,3003,5
5870922792,1540,1
9231616010,3060,3
4292741687,3027,2
8931945288,1389,2
2146973647,3789,5
5870922792,2182,5
1474705841,3055,4
8145425373,3044,1
6355475778,1404,1
2394853752,1852,4
8145425373,2766,3
8145425373,1644,2
1550632135,1247,5
5870922792,2651,1
7125679799,255,4
7647334784,3447,3
2193149183,3234,5
7647334784,1723,4
1550632135,3106,4
1550632135,1118,2
1474705841,1230,2
7647334784,3136,2
2193149183,671,3
4319308516,1066,5
1550632135,3368,5
9231616010,478,1
8931945288,1653,4
2193149183,1461,2
2146973647,3678,3
8145425373,210,2
4606201574,3226,4
7647334784,2098,1
1474705841,3789,3
1474705841,723,5
1550632135,3415,4
9231616010,1630,4
8931945288,2507,2
9231616010,3263,3
9231616010,3240,2
5870922792,3920,1
8931945288,327,3
1474705841,892,2
4292741687,1180,2
4292741687,3078,1
9231616010,1187,1
5870922792,1817,1
8931945288,738,1
4319308516,2706,5
8145425373,3415,1
7125679799,3816,5
4292741687,3458,5
1550632135,1241,5
4319308516,2193,2
2193149183,3609,2
2193149183,3321,4
8931945288,3142,1
2394853752,1932,3
8145425373,1365,4
9231616010,3855,3
4606201574,2757,3
4606201574,981,5
1474705841,1418,3
2146973647,1687,1
5870922792,3607,3
8145425373,576,5
9231616010,2317,3
6355475778,1007,1
4292741687,1607,1
7647334784,3540,4
4319308516,3234,4
7125679799,609,3
4292741687,1680,4
1550632135,684,1
4292741687,1835,1
2394853752,3012,3
2146973647,2537,2
1550632135,2905,5
6355475778,525,1
4319308516,1892,2
1474705841,171,5
8145425373,3730,2
6355475778,3245,3
7125679799,2501,5
1550632135,223,2
4606201574,3008,1
2394853752,139,5
8145425373,1082,1
9231616010,2753,5
2193149183,158,2
1550632135,2524,3
7647334784,1701,5
4319308516,3552,3
1550632135,3199,4
8931945288,2698,2
4319308516,743,3
8145425373,93,1
7125679799,597,2
2193149183,3044,1
1550632135,3723,4
1550632135,3436,1
6355475778,1937,3
9231616010,484,2
6355475778,560,3
4292741687,2819,4
4292741687,320,4
8931945288,741,1
2146973647,3260,4
4292741687,228,2
1474705841,408,5
4319308516,381,3
8145425373,1408,4
2193149183,1738,4
9231616010,3837,5
4319308516,741,5
2193149183,3113,1
6355475778,241,4
8145425373,2467,2
7125679799,1182,4
9231616010,747,2
2394853752,2099,2
8931945288,199,3
4292741687,1426,2
4292741687,3150,2
2193149183,2970,1
6355475778,882,1
6355475778,2101,5
2146973647,1813,1
2193149183,1882,4
1474705841,230,3
4319308516,285,1
1474705841,1574,5
8145425373,679,1
2193149183,2944,3
4292741687,1086,4
4319308516,2986,3
4292741687,1696,3
2394853752,586,5
2193149183,749,5
4292741687,1241,2
5870922792,2686,2
9231616010,18,2
2146973647,795,4
2193149183,3928,4
7125679799,1126,3
4292741687,25,2
9231616010,3080,3
9231616010,2540,4
2193149183,3539,2
8931945288,2520,1
7647334784,2982,5
2146973647,1234,4
4292741687,230,2
8145425373,2495,2
6355475778,3444,3
5870922792,1510,1
4606201574,1285,2
5870922792,3883,2
2193149183,794,4
4606201574,3443,3
8931945288,1581,5
2193149183,712,2
2193149183,3866,4
4319308516,3806,2
8145425373,3184,4
8145425373,1924,5
1550632135,2930,1
8145425373,1633,3
1550632135,3181,1
6355475778,17,4
1474705841,1336,3
7125679799,1633,5
8145425373,2602,4
4292741687,1063,4
4606201574,951,2
2394853752,1639,5
2394853752,3202,2
4292741687,446,2
9231616010,3620,4
4292741687,3599,3
2394853752,578,4
1474705841,3038,5
8931945288,17,4
9231616010,1308,1
7125679799,2827,5
4606201574,3260,4
5870922792,1415,5
1474705841,1563,3
6355475778,3250,4
2146973647,197,4
4319308516,3715,4
2193149183,1314,4
2193149183,1690,2
8145425373,2057,5
8931945288,1180,4
7647334784,2760,3
4292741687,2704,3
2146973647,42,4
2394853752,468,4
1474705841,1596,5
7647334784,3632,5
8145425373,1929,5
4319308516,3852,4
2193149183,2524,2
1550632135,2664,5
8931945288,968,4
2193149183,3513,5
9231616010,205,4
8931945288,1310,5
8145425373,1514,2
2146973647,286,3
1474705841,1055,1
2146973647,1397,2
7647334784,3253,1
1550632135,3265,2
2146973647,1140,4
6355475778,1787,1
2193149183,2,1
8145425373,3783,5
1550632135,1526,5
5870922792,3037,4
6355475778,3849,3
7125679799,892,2
5870922792,1170,5
4319308516,976,4
1550632135,1147,5
6355475778,2096,3
2394853752,3440,2
8145425373,2166,1
4606201574,1970,1
1550632135,3720,5
2394853752,3189,2
2394853752,3199,4
2193149183,3543,2
5870922792,1001,4
8145425373,3011,3
2146973647,3801,5
8145425373,1660,2
1550632135,3038,5
5870922792,3455,2
4319308516,3447,1
7647334784,1714,4
2146973647,1165,2
8145425373,1243,1
9231616010,3013,4
4606201574,3318,1
2394853752,3124,1
4606201574,2697,5
4606201574,1073,5
7125679799,794,2
2146973647,1448,2
4319308516,3761,5
1550632135,376,4
5870922792,3289,4
4319308516,664,2
7125679799,1643,4
4606201574,3027,2
7125679799,2714,2
4606201574,1575,5
1474705841,3455,2
6355475778,691,5
8145425373,1822,1
9231616010,1082,3
2193149183,3032,2
1474705841,3775,4
4292741687,3180,1
4319308516,3772,1
7125679799,1024,2
1474705841,403,4
4292741687,1789,1
2394853752,3378,3
6355475778,872,5
1550632135,2603,3
2193149183,2598,2
4606201574,1499,2
1550632135,3318,1
9231616010,1916,4
4292741687,3168,3
4292741687,1128,3
2146973647,1051,3
4606201574,2172,2
8931945288,3416,3
4319308516,3877,2
2146973647,3552,4
8145425373,110,2
2193149183,2091,1
1550632135,3037,2
2394853752,2194,3
9231616010,3203,3
5870922792,3092,4
2146973647,3376,4
4292741687,198,2
4319308516,753,1
8931945288,3652,4
7647334784,3123,5
8145425373,1632,4
2146973647,1007,1
1474705841,2094,4
9231616010,2198,3
2394853752,681,5
7125679799,1901,4
2146973647,2210,1
4606201574,285,5
7125679799,1249,1
2146973647,269,5
4292741687,3863,5
7647334784,2447,3
2394853752,1509,1
6355475778,676,1
2146973647,3806,4
4292741687,1398,2
5870922792,1309,5
9231616010,2712,3
7125679799,2706,1
5870922792,1271,1
2394853752,670,3
5870922792,1790,4
2146973647,2918,5
2193149183,1136,2
7125679799,1322,5
8931945288,957,4
2193149183,1534,5
2146973647,2476,2
1550632135,2472,2
2146973647,3404,3
4319308516,2983,4
6355475778,2704,3
2146973647,1971,4
2394853752,1266,3
7125679799,3906,1
1550632135,312,5
4319308516,3291,1
8931945288,320,2
2193149183,1853,2
9231616010,3494,4
9231616010,1532,1
2146973647,2120,3
7647334784,2636,3
1550632135,2629,1
8931945288,2,2
4606201574,2667,3
7125679799,3757,4
4319308516,216,3
2146973647,1639,3
4292741687,531,1
7125679799,944,5
1474705841,3374,5
2193149183,3375,5
4606201574,1149,1
8145425373,2094,5
8145425373,1120,1
7647334784,1508,4
7125679799,3528,5
2146973647,1787,1
9231616010,3874,5
9231616010,3446,1
5870922792,196,5
2193149183,1167,2
8931945288,2091,2
8145425373,943,2
5870922792,1632,5
2193149183,1259,5
2193149183,1331,1
2394853752,1757,1
4319308516,3587,3
8931945288,3050,1
4292741687,2041,1
4319308516,2540,5
8931945288,3436,4
7647334784,3440,2
7647334784,910,4
9231616010,2973,4
5870922792,1552,5
8931945288,2504,2
4292741687,1024,1
1474705841,3247,1
4606201574,753,2
2193149183,3132,2
5870922792,3461,1
4319308516,3856,5
8931945288,492,4
2394853752,3148,5
8931945288,3442,5
4319308516,328,4
2193149183,2317,5
7647334784,560,2
4319308516,597,2
2193149183,3210,4
6355475778,466,5
1474705841,2007,5
4319308516,575,4
6355475778,1671,2
5870922792,2820,4
2394853752,449,2
2394853752,2336,5
1550632135,3867,2
4606201574,3299,5
4606201574,3311,3
8931945288,3124,5
8931945288,2961,5
5870922792,1567,2
8145425373,3150,1
2394853752,145,5
4606201574,1061,4
7647334784,3778,2
7647334784,3883,4
9231616010,1191,1
2394853752,1444,2
2394853752,1863,1
9231616010,3512,1
8145425373,197,5
1550632135,1819,2
8931945288,1061,5
5870922792,2183,3
1550632135,3796,4
9231616010,437,1
7125679799,1110,1
7125679799,2320,1
4606201574,1579,2
7647334784,1151,3
4319308516,2820,2
4606201574,3285,5
4319308516,2921,5
7647334784,2827,3
1474705841,1162,5
7647334784,3054,2
7125679799,1680,1
2193149183,73,2
7647334784,3300,5
8931945288,3184,5
9231616010,3166,4
8145425373,1187,2
5870922792,3259,3
1474705841,1621,2
7125679799,3419,1
8145425373,2078,2
4319308516,1051,1
1550632135,190,5
2394853752,1040,3
7647334784,3001,5
4292741687,125,5
6355475778,81,2
2394853752,1575,2
2394853752,3037,4
1550632135,1156,2
1474705841,116,1
9231616010,1573,3
7125679799,3863,2
7647334784,386,1
4606201574,2152,4
2394853752,1882,5
7647334784,3789,3
8931945288,3007,5
4292741687,712,2
5870922792,2627,4
4292741687,2915,1
1550632135,723,4
1474705841,1123,4
8931945288,3761,5
4319308516,3322,1
7125679799,1561,3
4606201574,3866,1
4606201574,1400,1
4319308516,1109,5
2146973647,3259,2
8931945288,945,5
2193149183,3195,2
5870922792,1015,3
5870922792,3507,1
8145425373,2499,3
7647334784,809,4
4292741687,3010,3
6355475778,2461,1
2193149183,1506,2
7125679799,2169,3
8145425373,1886,1
4606201574,3415,5
8931945288,669,1
2394853752,451,2
2193149183,2981,2
8931945288,2344,2
6355475778,1966,5
2394853752,3789,1
2394853752,1015,5
8931945288,1002,2
6355475778,1687,2
8931945288,3939,1
5870922792,320,5
4606201574,807,5
8931945288,1382,1
5870922792,3699,3
2146973647,1789,4
8145425373,670,4
1550632135,3607,5
4319308516,3891,1
8931945288,81,3
6355475778,3408,1
8931945288,955,4
4319308516,696,3
9231616010,1575,3
5870922792,3783,3
2394853752,1687,2
2193149183,1539,2
1550632135,2705,2
2146973647,2098,5
9231616010,794,4
7647334784,3457,4
7647334784,2755,3
7647334784,2780,5
4292741687,2507,1
4319308516,3399,1
8145425373,1882,4
4292741687,3398,1
1474705841,2766,4
9231616010,1572,1
4606201574,118,4
7125679799,1733,1
2146973647,2839,2
1550632135,2913,3
4606201574,943,3
8931945288,3224,3
8931945288,2899,1
4292741687,2462,3
4292741687,1259,2
2394853752,3054,3
7125679799,1827,2
1474705841,3526,3
8145425373,2154,4
2193149183,3772,3
2146973647,1447,1
8931945288,2445,4
8145425373,3535,4
1550632135,3868,2
4319308516,1827,4
6355475778,320,3
6355475778,3729,3
4292741687,2611,5
5870922792,650,5
4319308516,550,1
4319308516,3818,3
8931945288,701,2
7125679799,1040,5
2394853752,1057,5
6355475778,2444,2
1474705841,642,5
2394853752,346,4
2146973647,1829,2
7125679799,3247,4
7647334784,872,3
5870922792,376,1
2146973647,3507,2
1550632135,3000,1
4292741687,1703,2
9231616010,3599,5
1550632135,1507,1
8145425373,2896,5
6355475778,2858,4
1474705841,3281,4
1550632135,1736,2
4606201574,1249,3
7647334784,195,3
4319308516,1213,4
5870922792,1112,5
2394853752,2915,5
4292741687,723,1
8145425373,306,3
8145425373,3579,4
4319308516,2605,1
7647334784,3508,5
5870922792,899,3
8145425373,481,3
2394853752,307,1
4319308516,3123,3
4606201574,2171,2
8145425373,3719,5
2193149183,2131,2
2394853752,250,3
2394853752,1237,5
6355475778,2302,3
2146973647,1312,4
1474705841,3311,3
5870922792,1653,4
4319308516,2109,3
4606201574,558,5
5870922792,1721,2
2146973647,1960,4
4292741687,1791,4
2146973647,3558,2
8145425373,1723,4
2146973647,1413,5
4292741687,1444,3
2394853752,2182,3
4606201574,2629,3
2146973647,1066,1
7125679799,1945,2
4292741687,3202,2
1550632135,2925,3
7647334784,3081,5
7125679799,74,4
4606201574,3203,1
4292741687,307,3
2394853752,301,1
6355475778,3178,2
7647334784,3032,3
9231616010,1589,2
4606201574,2705,2
2193149183,1476,3
8931945288,3404,1
1550632135,3620,1
5870922792,3680,1
4319308516,1955,2
7125679799,3421,4
7125679799,3411,3
8931945288,3083,3
5870922792,3394,2
5870922792,578,1
7647334784,2889,1
1474705841,286,5
7125679799,2904,5
7125679799,1721,2
2394853752,891,4
4319308516,2901,1
1550632135,819,1
6355475778,3681,5
2193149183,2120,5
4606201574,1644,3
2146973647,3715,1
4292741687,3148,4
1474705841,2990,5
5870922792,1173,3
2146973647,3018,3
4606201574,2636,3
7125679799,3136,4
4292741687,3021,4
4606201574,2641,3
8931945288,2960,2
6355475778,2317,2
4292741687,3251,5
4292741687,2102,5
1474705841,3394,5
2193149183,2857,5
4319308516,2588,3
2193149183,2969,3
4292741687,295,4
7125679799,1687,4
4319308516,3017,1
8145425373,1640,5
8145425373,1256,5
8931945288,2930,3
5870922792,1169,5
5870922792,197,1
2193149183,1967,2
7647334784,2336,3
8145425373,1646,3
2394853752,1666,2
8145425373,415,5
4292741687,1587,2
8145425373,460,5
1474705841,432,2
7647334784,21,2
4319308516,641,4
7125679799,1128,2
6355475778,2820,3
1474705841,3049,3
8145425373,3501,4
8931945288,3611,5
2394853752,3837,3
8145425373,239,5
9231616010,708,3
9231616010,3497,3
2193149183,690,4
6355475778,1527,1
8931945288,3556,4
6355475778,1574,3
1550632135,3783,5
4606201574,2476,4
9231616010,110,4
4292741687,2445,3
2394853752,2810,2
5870922792,1931,1
8145425373,1008,2
2146973647,2462,2
2146973647,1202,1
8931945288,1875,3
4319308516,3078,5
6355475778,1640,3
2146973647,3291,2
7125679799,396,2
1550632135,2134,3
8145425373,146,2
8145425373,2833,4
9231616010,1019,3
8145425373,3080,1
6355475778,3285,2
7647334784,485,4
4606201574,100,2
5870922792,3535,4
2193149183,171,3
2146973647,3163,4
4319308516,367,4
7647334784,2744,4
7125679799,3168,4
7125679799,1717,3
7647334784,3615,5
4292741687,2906,5
6355475778,3317,3
7647334784,915,4
4292741687,705,5
2146973647,2948,3
5870922792,2057,2
4319308516,1814,2
1550632135,1829,5
4319308516,2774,2
8931945288,743,3
8145425373,1063,4
4292741687,3404,1
4292741687,1521,5
7647334784,2688,2
7647334784,3111,5
7647334784,2475,2
1474705841,1749,2
8145425373,195,4
1550632135,3513,4
5870922792,1398,2
7647334784,2810,4
8145425373,2183,1
4319308516,1147,5
4292741687,1300,2
2146973647,3735,5
7647334784,3398,3
9231616010,2711,3
5870922792,2584,2
4606201574,1634,1
9231616010,3276,3
1474705841,1671,1
5870922792,1827,1
4319308516,23,2
2193149183,1918,5
9231616010,3472,5
1474705841,2462,1
8145425373,2086,2
2193149183,1829,3
4319308516,2143,4
4606201574,3408,3
2394853752,741,2
9231616010,3853,3
4292741687,2667,5
4319308516,1300,1
2193149183,1170,4
9231616010,2993,3
8931945288,1674,1
4319308516,1043,1
1550632135,1780,1
4319308516,2889,4
6355475778,1746,3
2146973647,1711,5
4319308516,2909,2
1550632135,3382,1
7647334784,140,4
2394853752,3367,1
6355475778,978,5
4319308516,3862,5
5870922792,1191,2
9231616010,1520,5
4606201574,1945,2
2193149183,3260,5
2146973647,893,4
4292741687,1462,4
4606201574,2859,1
6355475778,13,4
5870922792,345,5
4606201574,2964,5
4292741687,3502,2
8145425373,613,2
2394853752,2588,3
8931945288,1515,4
4606201574,3075,2
4606201574,3045,3
4292741687,924,5
8145425373,3877,3
2146973647,1886,2
4292741687,3008,3
1550632135,530,5
2394853752,2697,2
4319308516,3134,1
2146973647,2897,4
4606201574,3416,2
4319308516,3546,5
6355475778,3552,5
7647334784,1510,1
4606201574,2992,2
6355475778,2192,2
8931945288,1299,5
2193149183,3554,2
6355475778,3180,2
7647334784,2905,3
9231616010,3227,3
8145425373,3030,5
6355475778,593,3
2146973647,372,3
9231616010,3605,3
1474705841,1331,5
4292741687,2686,5
1550632135,2011,3
8931945288,1765,2
2146973647,691,3
8931945288,508,3
7647334784,529,2
1474705841,3149,5
4319308516,1012,1
4319308516,2145,5
2394853752,3579,3
1474705841,2169,5
1550632135,3435,5
2146973647,1579,5
1550632135,1285,5
8931945288,2753,5
5870922792,3465,1
8931945288,3833,3
4292741687,1721,4
9231616010,1631,1
2394853752,1762,4
7125679799,563,5
9231616010,691,2
1550632135,2537,2
2146973647,1319,1
2193149183,1217,5
1474705841,1251,3
7125679799,954,4
5870922792,249,4
4292741687,100,2
4292741687,1064,1
4606201574,699,1
8145425373,508,4
2193149183,1963,4
4606201574,2347,2
1550632135,2956,3
7647334784,2531,5
1474705841,3554,5
7125679799,1101,3
2193149183,1256,5
4606201574,2985,3
1474705841,3293,5
7125679799,2575,1
4292741687,2588,3
9231616010,1851,4
7125679799,1167,3
1474705841,602,5
2394853752,2442,4
4319308516,1182,2
2394853752,575,5
8145425373,1286,2
1474705841,681,2
8931945288,443,3
7125679799,200,3
9231616010,1001,2
1550632135,1882,1
2394853752,1106,4
1550632135,1084,5
9231616010,3718,3
1474705841,3928,4
6355475778,529,1
8145425373,3074,2
4292741687,3615,3
7125679799,3299,4
2394853752,2660,4
2146973647,1057,1
8931945288,1059,3
2193149183,1671,4
4292741687,401,2
8931945288,878,1
6355475778,3211,3
4292741687,187,2
8931945288,2905,2
9231616010,2053,5
9231616010,3587,2
4292741687,1636,2
4606201574,1769,3
2394853752,2685,1
4606201574,68,4
4319308516,2596,4
2193149183,2129,5
4319308516,31,2
8145425373,1415,1
6355475778,1160,1
4319308516,3940,4
6355475778,1100,1
1550632135,124,5
2193149183,17,5
1550632135,2987,5
2193149183,3100,5
4319308516,337,1
2193149183,3471,2
2394853752,2983,1
5870922792,576,4
7647334784,122,5
7125679799,868,1
2193149183,885,4
2193149183,2550,4
7647334784,2493,4
7647334784,3095,4
9231616010,3311,4
4292741687,102,4
2394853752,3190,1
8931945288,1411,2
2193149183,2870,4
5870922792,3134,3
8931945288,1450,5
9231616010,3367,1
2193149183,336,2
4292741687,1421,5
2193149183,3095,4
2146973647,1932,3
4292741687,665,2
5870922792,3596,3
8931945288,2997,5
9231616010,885,3
2394853752,946,2
5870922792,354,5
1550632135,523,4
6355475778,711,5
8931945288,3194,4
2394853752,574,2
7647334784,2868,5
7647334784,2964,2
9231616010,3132,1
7647334784,954,2
8931945288,1537,3
7647334784,1966,5
5870922792,1382,4
4606201574,1633,4
8931945288,3473,4
4319308516,3436,4
2394853752,3324,5
7647334784,3456,3
6355475778,3472,3
2146973647,3149,2
8145425373,3394,3
6355475778,1015,4
1550632135,3018,1
5870922792,3081,5
8145425373,530,1
9231616010,1477,3
5870922792,2314,4
4292741687,2171,4
7125679799,1153,2
2146973647,527,4
2146973647,3634,3
4292741687,3612,4
4292741687,529,2
5870922792,3775,5
1550632135,2485,4
2146973647,3588,4
2146973647,1762,5
1550632135,2198,5
4606201574,3368,5
2146973647,1905,5
4606201574,1736,1
8931945288,1738,3
4292741687,3720,5
8145425373,2129,1
2146973647,760,5
4319308516,1175,2
1474705841,1084,1
6355475778,526,5
7125679799,749,4
4319308516,1256,1
4319308516,3823,2
7125679799,3199,5
9231616010,3462,1
5870922792,3740,5
7125679799,3497,5
4606201574,1237,5
1474705841,3276,3
2193149183,3863,2
7125679799,1123,1
8145425373,556,3
7125679799,3447,4
2146973647,3501,1
8145425373,1285,2
4319308516,1687,2
2146973647,3106,1
2146973647,1713,2
4606201574,1532,2
4606201574,3218,4
2193149183,3833,3
8931945288,1544,5
5870922792,949,4
1474705841,2758,3
9231616010,1099,1
8931945288,2979,4
5870922792,3727,2
4319308516,3176,4
4292741687,3017,4
7125679799,1509,5
2146973647,3891,4
9231616010,1068,1
1474705841,805,5
7647334784,1336,3
5870922792,1917,1
1474705841,2823,1
2146973647,1757,5
1550632135,651,5
2394853752,1988,2
8145425373,588,3
8931945288,3395,1
2146973647,1395,4
2193149183,993,3
9231616010,3443,3
5870922792,1715,3
7647334784,1110,3
1474705841,1140,3
4606201574,3051,5
5870922792,2815,2
2146973647,364,4
1474705841,3322,4
8145425373,1777,3
4319308516,773,2
4606201574,1311,2
1474705841,443,5
2193149183,927,5
8145425373,118,3
2193149183,21,3
2394853752,2757,3
6355475778,2758,3
9231616010,2857,2
1474705841,2480,4
2394853752,1924,2
2146973647,1086,3
4606201574,949,1
4292741687,2825,3
7647334784,3552,5
8145425373,1548,2
2193149183,1675,2
2394853752,327,1
8145425373,2097,5
4606201574,1263,3
5870922792,2320,5
4606201574,1415,1
2394853752,1097,1
2146973647,2686,4
1550632135,3005,2
8145425373,1302,4
4319308516,3506,3
4606201574,1389,5
6355475778,149,4
2146973647,1911,3
2146973647,2673,2
1550632135,1960,2
5870922792,1711,2
4606201574,1647,3
4292741687,3036,1
2394853752,376,4
2146973647,2625,1
9231616010,1666,5
2394853752,529,3
